Date,Open,High,Low,Close,Volume,Adj Close
2012-09-10,14.27,16.54,13.51,14.51,000,14.51
2012-09-04,18.65,18.96,14.33,14.38,000,14.38
2012-08-27,16.15,18.05,15.75,17.47,000,17.47
2012-08-20,14.11,16.45,13.38,15.18,000,15.18
2012-08-13,14.09,15.15,13.30,13.45,000,13.45
2012-08-06,15.85,16.47,14.73,14.74,000,14.74
2012-07-30,17.55,19.25,15.64,15.64,000,15.64
2012-07-23,20.41,21.00,16.52,16.70,000,16.70
2012-07-16,17.31,17.46,15.45,16.27,000,16.27
2012-07-09,18.17,19.51,16.36,16.74,000,16.74
2012-07-02,17.62,18.25,16.27,17.10,000,17.10
2012-06-25,20.47,21.36,16.87,17.08,000,17.08
2012-06-18,21.76,21.98,16.77,18.11,000,18.11
2012-06-11,19.87,24.93,19.63,21.11,000,21.11
2012-06-04,26.35,27.73,20.29,21.23,000,21.23
2012-05-29,21.70,26.71,20.99,26.66,000,26.66
2012-05-21,24.88,24.88,19.98,21.76,000,21.76
2012-05-14,21.47,25.14,20.76,25.10,000,25.10
2012-05-07,19.80,21.59,17.95,19.89,000,19.89
2012-04-30,17.04,19.28,16.01,19.16,000,19.16
2012-04-23,20.22,20.27,15.75,16.32,000,16.32
2012-04-16,18.87,20.42,16.97,17.44,000,17.44
2012-04-09,18.94,21.06,17.20,19.55,000,19.55
2012-04-02,16.35,17.74,15.02,16.70,000,16.70
2012-03-26,14.51,17.27,14.14,15.50,000,15.50
2012-03-19,15.42,16.58,14.19,14.82,000,14.82
2012-03-12,15.79,16.67,13.66,14.43,000,14.43
2012-03-05,18.27,21.24,16.63,17.11,000,17.11
2012-02-27,19.10,19.25,17.14,17.29,000,17.29
2012-02-21,18.41,18.97,16.42,17.31,000,17.31
2012-02-13,19.64,21.77,17.54,17.78,000,17.78
2012-02-06,17.98,21.98,16.11,20.77,000,20.77
2012-01-30,20.33,20.33,16.10,17.10,000,17.10
2012-01-23,19.22,20.00,16.80,18.53,000,18.53
2012-01-17,20.90,23.44,18.16,18.28,000,18.28
2012-01-09,21.67,22.43,20.05,20.91,000,20.91
2012-01-03,22.95,23.73,20.58,20.63,000,20.63
2011-12-27,22.58,23.56,21.68,23.40,000,23.40
2011-12-19,25.14,25.38,20.34,20.73,000,20.73
2011-12-12,26.78,27.73,23.27,24.29,000,24.29
2011-12-05,26.74,30.91,26.00,26.38,000,26.38
2011-11-28,31.93,33.11,25.29,27.52,000,27.52
2011-11-21,34.59,35.29,31.28,34.47,000,34.47
2011-11-14,31.42,36.46,30.40,32.00,000,32.00
2011-11-07,31.40,36.43,27.47,30.04,000,30.04
2011-10-31,27.09,37.53,27.01,30.16,000,30.16
2011-10-24,31.67,33.30,24.44,24.53,000,24.53
2011-10-17,30.35,36.87,29.69,31.32,000,31.32
2011-10-10,35.45,35.45,28.08,28.24,000,28.24
2011-10-03,44.25,46.88,35.19,36.20,000,36.20
2011-09-26,40.99,43.34,35.32,42.96,000,42.96
2011-09-19,34.80,43.87,31.45,41.25,000,41.25
2011-09-12,42.56,43.18,30.43,30.98,000,30.98
2011-09-06,39.84,40.74,32.79,38.52,000,38.52
2011-08-29,33.81,34.74,30.16,33.92,000,33.92
2011-08-22,38.80,43.84,34.05,35.59,000,35.59
2011-08-15,34.73,45.40,30.81,43.05,000,43.05
2011-08-08,36.90,48.00,34.01,36.36,000,36.36
2011-08-01,22.63,39.25,22.46,32.00,000,32.00
2011-07-25,19.26,25.94,18.73,25.25,000,25.25
2011-07-18,21.25,21.93,17.14,17.52,000,17.52
2011-07-11,17.44,21.68,17.16,19.53,000,19.53
2011-07-05,16.32,17.14,15.30,15.95,000,15.95
2011-06-27,21.60,21.82,15.12,15.87,000,15.87
2011-06-20,22.99,23.08,17.72,21.10,000,21.10
2011-06-13,19.10,24.65,17.80,21.85,000,21.85
2011-06-06,18.42,19.16,17.26,18.86,000,18.86
2011-05-31,15.85,19.87,15.15,17.95,000,17.95
2011-05-23,20.03,20.03,15.36,15.98,000,15.98
2011-05-16,17.86,19.09,15.50,17.43,000,17.43
2011-05-09,18.59,18.59,15.79,17.07,000,17.07
2011-05-02,15.07,19.29,15.07,18.40,000,18.40
2011-04-25,15.64,16.42,14.27,14.75,000,14.75
2011-04-18,18.30,19.07,14.30,14.69,000,14.69
2011-04-11,16.74,18.46,14.92,15.32,000,15.32
2011-04-04,17.63,18.33,16.49,17.87,000,17.87
2011-03-28,18.31,19.78,16.44,17.40,000,17.40
2011-03-21,22.10,22.16,17.07,17.91,000,17.91
